Date,Time,Weather,Transect,Species,Count,Distance,Observer,Any other comments
30/01/2017,11:54,"Overcast (100% cloud cover), and damp ground conditions, 6?C",1,Grey Squirrel Sciurus carolinensis,2,30,Hannah,
30/01/2017,12:02,"Overcast (100% cloud cover), and damp ground conditions, 6?C",1,Grey Squirrel Sciurus carolinensis,1,10,Sonia,
06/02/2017,11:19,"Sunny (20% cloud coverage), 5?C",1,Grey Squirrel Sciurus carolinensis,1,30,Sonia,
06/02/2017,11:22,"Sunny (20% cloud coverage), 5?C",1,Grey Squirrel Sciurus carolinensis,1,15,Sonia,
06/02/2017,11:24,"Sunny (20% cloud coverage), 5?C",1,Grey Squirrel Sciurus carolinensis,4,10,Hannah,
06/02/2017,11:25,"Sunny (20% cloud coverage), 5?C",1,Grey Squirrel Sciurus carolinensis,1,5,Hannah,
13/02/2017,11:07,"Sunny (0% cloud coverage), 5?C",1,Grey Squirrel Sciurus carolinensis,1,40,Sonia,
13/02/2017,11:11,"Sunny (0% cloud coverage), 5?C",1,Grey Squirrel Sciurus carolinensis,2,20,Sonia,
13/02/2017,11:14,"Sunny (0% cloud coverage), 5?C",1,Grey Squirrel Sciurus carolinensis,2,10,Hannah,
25/03/2017,19:54,"Windy, (50% cloud cover) 8?C",1,Rabbit,2,2,Kieran,
