Date of deployment,Time,Date of collection,Time,Tunnel number,Location (OS coordinates),Species,Habitat Lv.1,Habitat Lv.2,Habitat Lv.3,Observer,Confirmed by,Any other comments
31/03/2017,17:00,04/03/2017,15:00,1,SU 98624 49798,Brown Rat,Human Site,Suburban,"Residential, Gardens",Zoe,,
04/04/2017,17:00,04/05/2017,17:00,1,SU 98624 49798,Cat,Waterbody,Lake,"Near railway, low disturbance","Yuma, Dixie Zoe",Surrey Mammal Group,
04/04/2017,17:00,04/05/2017,17:00,1,SU 98624 49798,Brown rat,Waterbody,Lake,"Near railway, low disturbance","Yuma, Dixie Zoe",,
04/04/2017,17:15,04/05/2017,17:30,2,SU 98624 49798,Cat,Human site,Suburban,"Near railway, low distubrance, recreational ground","Yuma, Dixie, Zoe",Surrey Mammal Group,
04/04/2017,17:15,04/05/2017,17:30,2,SU 98624 49798,Brown rat,Human site,Suburban,"Near railway, low distubrance, recreational ground","Yuma, Dixie, Zoe",,
04/05/2017,17:00,04/06/2017,17:00,1,SU 98624 49798,Cat,Waterbody,Lake,"Near railway, low disturbance","Yuma, Dixie, Zoe",Surrey Mammal Group,
04/05/2017,17:00,04/06/2017,17:00,1,SU 98624 49798,Brown rat,Waterbody,Lake,"Near railway, low disturbance","Yuma, Dixie, Zoe",,
04/05/2017,17:30,04/06/2017,17:30,2,SU 98624 49798,Brown rat,Human site,Suburban,"Near railway, low disturbance, recreational ground","Yuma, Dixie, Zoe",,
04/06/2017,17:00,04/07/2017,16:00,1,SU 98624 49798,Cat,Waterbody,Lake,"Near railway, low disturbance","Yuma, Dixie, Zoe",Surrey Mammal Group,
04/06/2017,17:00,04/07/2017,16:00,1,SU 98624 49798,Brown rat,Waterbody,Lake,"Near railway, low disturbance","Yuma, Dixie, Zoe",,
04/06/2017,17:30,04/07/2017,16:30,2,SU 98624 49798,Cat,Human site,Suburban,"Near railway, low disturbance, recreational ground","Yuma, Dixie, Zoe",Surrey Mammal Group,
04/06/2017,17:30,04/07/2017,16:30,2,SU 98624 49798,Brown rat,Human site,Suburban,"Near railway, low disturbance, recreational ground","Yuma, Dixie, Zoe",,
